,Posted,Location,Post Title,Bedrooms,Sqft,Distance,Price,Clean_location
0,2021-07-17," fairfax county, annandale",Fenced yard-all utilities included-large 1 bedroom apartment,1.0,1000.0,0.0,1290,Fairfax
2,2021-07-14," Annadale, VA",5B3BA Fully Remodeled Single Family House for Rent,5.0,2500.0,1.1,3600,Annandale
4,2021-07-17, North Springfield,"*Beautiful Home, Spacious + Bright 3 Bedroom 2.5 Bath w/ Yard *",3.0,2500.0,1.9,3100,Springfield
5,2021-07-12, Fairfax,"Guest Suite, Designer Fixtures, Contemporary Finishes",2.0,1216.0,2.3,2015,Fairfax
6,2021-07-14, Fairfax,"Pets Welcome, Lease Today, Perfect Location",2.0,1216.0,2.3,1965,Fairfax
7,2021-07-14, Fairfax,"Party Room, Contemporary Finishes, Comfort and Convenience",3.0,1523.0,2.3,2285,Fairfax
8,2021-07-15, Fairfax,"Swimming Pool, Designer Fixtures, Modern Fixtures",2.0,1216.0,2.3,2015,Fairfax
9,2021-07-17, Fairfax,"Patios Available, Contemporary Finishes, Leasing Now",3.0,1523.0,2.3,2285,Fairfax
10,2021-07-18, Fairfax,"Swimming Pool, Lease Today, Call for Details",2.0,1216.0,2.3,1965,Fairfax
12,2021-07-17, Fairfax,3 level brick TH for rent near Vienna  Metro,3.0,2448.0,3.4,2595,Fairfax
13,2021-07-16, Burke Station Square,3-Level 3BR / 2.5BA Brick Townhouse in Burke Station Square Near VRE!,3.0,2160.0,3.5,2500,Burke
18,2021-07-16, 6312 Mayapple Place,Alexandria/Lincolnia,2.0,1536.0,3.8,2425,Alexandria
21,2021-07-15, West Springfield,Immaculate 3 bedroom/2 full + 2 half bathroom townhouse - Now Availabl,3.0,2000.0,3.9,2800,Springfield
22,2021-07-15, Springfield VA,For Rent: Single Family Home (4 bd/2 Fullbath/1900sqft),4.0,1900.0,3.9,2600,Springfield
23,2021-07-18, Falls Church,"2 CAR GARAGE, END UNIT TH, 4 BED/3.5 BATH, CLOSE TO DC, AVAIL SEPT",4.0,1814.0,4.0,2899,Falls Church
24,2021-07-18, Falls Church,END UNIT 2 CAR GARAGE TH CLOSE TO DC HARDWOOD FLOORS AVAIL SEPT,4.0,1814.0,4.0,2898,Falls Church
25,2021-07-14, Falls Church,END UNIT 2 CAR GARAGE 4 BED/3.5 BATH BUS TO PENTAGON AVAIL SEPT,4.0,1814.0,4.0,2899,Falls Church
26,2021-07-15, Falls Church,2 CAR GARAGE 4 BED/3.5 BATH TH CLOSE TO DC HARDWOOD FLOORS AVAIL SEPT,4.0,1814.0,4.0,2899,Falls Church
27,2021-07-18, Falls Church,Three Bedroom + Loft Recently Updated End Unit Townhouse,3.0,1648.0,4.0,3200,Falls Church
28,2021-07-16, Falls Church,"2 CAR GARAGE, 4 BED/3.5 BATH, END UNIT TH CLOSE TO DC AVAIL SEPT",4.0,1814.0,4.0,2899,Falls Church
29,2021-07-17, Falls Church,"2 CAR GARAGE 4 BED/3.5 BATH TH, HARDWOOD FLRS, CLOSE TO DC,AVAIL SEPT",4.0,1815.0,4.0,2899,Falls Church
30,2021-07-17, Falls Church,"2 CAR GARAGE, 4 BED/3.5 BATH CLOSE TO DC, HARDWOOD FLOORS, AVAIL SEPT",4.0,1817.0,4.0,2899,Falls Church
31,2021-07-15, Falls Church City,Updated Detached Falls Church City Cape Code,4.0,2366.0,4.2,4300,Falls Church
32,2021-07-13, Falls Church City,"Charming, completely rebuilt, home for rent in City of Falls Church",4.0,2700.0,4.2,3900,Falls Church
36,2021-07-13, Brittany Parc at Tysons,"Elegant 4BR/3.5BA Home w/ Upgrades Throughout, Near Tysons",4.0,3356.0,4.6,4250,Mclean
37,2021-07-16, North Idylwood,Comfortable 5BR/3BA Home w/ Upgraded Kitchen & Baths in Great Location,5.0,2424.0,4.6,3600,Falls Church
39,2021-07-15, Burke,Sunny Quiet End-Unit Basement Rental,1.0,700.0,4.6,1100,Burke
40,2021-07-17, Burke,Upper Level Duplex 2br/1ba Townhouse Rental *All Utilities Included,2.0,1100.0,4.6,2200,Burke
41,2021-07-15, Vienna,Spacious Single Family Home on Corner Lot,4.0,2160.0,4.8,3800,Vienna
44,2021-07-17, Vienna Metro Station,"Walk to Vienna Metro,1 bed+1 bath,all included,private entrance",1.0,900.0,5.0,950,Vienna
45,2021-07-17, Vienna Metro Station,"Walk to Vienna Metro,2 bed+2 bath,all included,private entrance",2.0,900.0,5.0,950,Vienna
46,2021-07-17, Vienna Metro Station,"Walk to Vienna Metro,2 bed+2 bath,all included,private entrance",2.0,900.0,5.0,950,Vienna
47,2021-07-16, Vienna Metro Station,"Walk to Vienna Metro,1 bed+1 bath,all included,private entrance",1.0,900.0,5.0,950,Vienna
48,2021-07-14, Alexandria,Large Master Bedroom available in newly renovated townhouse!,1.0,250.0,5.1,1199,Alexandria
49,2021-07-12, Blakelee,"Lovely 3BR/2.5 BA End-Unit Townhouse, Updated Kitchen, Fenced Backyard",3.0,1320.0,5.1,2370,Fairfax
53,2021-07-16, Summers Grove,Upgraded Kitchen Townhouse,3.0,1892.0,5.1,2895,Alexandria
70,2021-07-16, Tysons Corner,"Updated, gorgeous 3b/3.5ba townhouse close to everything!",3.0,2000.0,5.2,3500,Mclean
71,2021-07-18, Woodfield Estates,Spacious 3BR/4.5BA Townhouse in Great Location Near Van Dorn Metro,3.0,2290.0,5.2,2800,Alexandria
72,2021-07-18, north arlington near Harrison and 17th,"4 Bd 3 Bath, Nice Backyd Deck n Parking handy, Great house!",4.0,2875.0,5.4,3990,Arlington
76,2021-07-12," Fairfax, VA",4 BR/4 BA home available in Mantua,4.0,1813.0,5.7,3690,Fairfax
78,2021-07-15, South Arlington,Furnished Lower Level of Arlington Townhouse- All Inclusive!,1.0,400.0,5.8,1425,Arlington
79,2021-07-17," Arlington, VA",House for Rent in S. Arlington/Claremont,4.0,1600.0,5.8,2600,Arlington
80,2021-07-18, N Arlington Ballston Metro orange/silver line,SEPT 1 MOVE IN**0.8mi Walk to Ballston Metro**,1.0,100.0,5.9,850,Arlington
81,2021-07-18, Springfield,Charming single family home on quiet cul-de-sac in a great location for commutin,4.0,2100.0,6.0,2400,Springfield
83,2021-07-16, ALEXANDRIA,KINGSTOWNE SUBDIVISION,3.0,1692.0,6.1,2650,Alexandria
86,2021-07-13, Little Vienna Estates,Coming Soon * Short Term Rental *Rambler w/Garage,4.0,2204.0,6.1,4100,Vienna
87,2021-07-18, Ballston,Charming 3BR 2 Bath SFH in Ballston 3150,3.0,1125.0,6.1,3150,Arlington
89,2021-07-17, Arlington,Three/Four bedroom house off Pershing Dr.,4.0,2300.0,6.2,3150,Arlington
91,2021-07-12, Burke Centre,"Spacious & Elegant 4BR/3.5BA Home in Burke Centre, Yard Care Included!",4.0,2520.0,6.2,3700,Burke
92,2021-07-15," Gildar St. Alexandria, VA 22310",Basement For Rent,1.0,1260.0,6.2,600,Alexandria
93,2021-07-16, Rock Springs,Spacious 3 bedroom house in North Arlington,3.0,3100.0,6.3,3700,Arlington
94,2021-07-17, Fairlington,Lovely Townhome in Fairlington Mews for Rent,2.0,922.0,6.4,2250,Arlington
95,2021-07-18, Arlington,Ballston: 3 bedroom Townhouse,3.0,2000.0,6.5,3950,Arlington
96,2021-07-17, Arlington,Walk to Ballston Metro - 3Bed/3Bath SF House Fenced Backyard,3.0,1370.0,6.5,3400,Arlington
97,2021-07-17, Arlington close-in to D.C.,"Short Term,Furnished 2 Bed, 1 bath, 2-story townhouse/duplex w/parking",2.0,1350.0,6.5,1987,Arlington
98,2021-07-16, Arlington close-in to D.C.,"Short Term,Furnished 2 Bed, 1 bath, 2-story townhouse/duplex w/parking",2.0,1350.0,6.5,1987,Arlington
99,2021-07-12," Arlington, VA",1 bedroom 1 bathroom townhouse for rent,1.0,801.0,6.5,1650,Arlington
100,2021-07-18, Arlington Heights,Big open renovated 4.5BR/3.5BA,4.0,3000.0,6.5,5000,DC
103,2021-07-15, Alexandria/Annandale,"Amazing 4 bedroom, 3.5 baths Townhouse",4.0,2200.0,6.8,3500,Alexandria
105,2021-07-12," Arlington,","Sunny, two-story, 1BR 1.5 Bath Coach House",1.0,800.0,6.9,1550,Arlington
106,2021-07-13," Arlington, VA",Lovely house,3.0,1494.0,6.9,3485,Arlington
107,2021-07-17, Arlington,Single Family House,2.0,1300.0,6.9,3300,Arlington
108,2021-07-16, Arlington / Ballston,Brick SFH/Garage by Subway  3BR/2.5BA,4.0,2700.0,6.9,3900,Arlington
109,2021-07-17, Arlington,RAINSHOWER 3BR/3BA TH nr Ballston / Clarendon,3.0,1836.0,6.9,3390,Arlington
110,2021-07-14, Alexandria,1569 Mt. Eagle Place,2.0,930.0,7.2,2100,Alexandria
111,2021-07-16, Shouse Village,Updated 4 Bedroom Colonial located on a tranquil cul-de-sac for RENT!,4.0,2802.0,7.2,4500,Vienna
112,2021-07-17, Vienna,"Gorgeous end unit, brick front, 3 level townhouse in the beautiful Tys",4.0,2466.0,7.2,3300,Vienna
113,2021-07-12, Clarendon,4 bdr Townhouse - 1 block to Clarendon!,4.0,3230.0,7.3,4975,Arlington
115,2021-07-14, McLean northern virginia ,Elegant Colonial House,5.0,3650.0,7.4,5200,Mclean
118,2021-07-17, Alexandria northern virginia ,furnished room close to huntington metro,1.0,400.0,7.7,1000,Alexandria
119,2021-07-16, Arlington northern virginia ,Clarendon Rental - Short Term/1 Year,7.0,4600.0,7.8,5000,Arlington
120,2021-07-18, Arlington/Clarendon/Pentagon_Crystal City northern virginia ,ARLINGTON 3BR 2.5ba 3 Lvl TH,3.0,1600.0,7.8,2600,Arlington
121,2021-07-13," Arlington, Pentagon City northern virginia ",SFH in the Arlington Ridge Neighborhood,4.0,2400.0,8.0,3950,Arlington
122,2021-07-13," Arlington, Pentagon City northern virginia ",SFH in the Arlington Ridge Neighborhood,4.0,2400.0,8.0,3950,Arlington
123,2021-07-13," Arlington, Pentagon City northern virginia ",SFH in the Arlington Ridge Neighborhood,4.0,2400.0,8.0,3950,Arlington
131,2021-07-17, Rosemont northern virginia ,Charming newly renovated single family home in Rosemont!,3.0,1634.0,8.4,3900,Alexandria
133,2021-07-14," Lorton, VA northern virginia ","4br - Elegant 4 level Th.4 BR, 3 BA, 1 Car Garage, near Ft. Belvoir",4.0,2400.0,8.5,2899,Lorton
134,2021-07-18," Lorton, VA northern virginia ","4br - Elegant 4 level Th.4 BR, 3 BA, 1 Car Garage, near Ft. Belvoir",4.0,2400.0,8.5,2899,Lorton
136,2021-07-16, Arlington northern virginia ,"Furnished Executive Home Close to Amazon HQ2, Pentagon and Reagan Air",4.0,4000.0,8.5,5950,Arlington
137,2021-07-16, Alexandria northern virginia ,>>> 3 Bedroom Townhouse for Rent Near Ft. Belvoir,3.0,1100.0,8.6,1695,Alexandria
138,2021-07-14, 1717 Cameron Street northern virginia ,Alexandria/King Street Metro,2.0,900.0,8.6,2295,Alexandria
139,2021-07-13, Rosslyn/N. Arlington northern virginia ,Beautiful 4 BR/2.5 BA | Fireplace | Balcony In Rosslyn,4.0,1510.0,8.6,4200,Arlington
140,2021-07-14, 403 Mount Vernon Avenue northern virginia ,Alexandria/Braddock Rd Metro,2.0,1200.0,8.6,2415,Mount Vernon
142,2021-07-14, Old Town Alexandria northern virginia ,Alexandria Old Town Townhouse for Rent,2.0,1100.0,8.8,3000,Alexandria
144,2021-07-16," Old Town, Alexandria northern virginia ",TownHouse available! (For Rent),2.0,880.0,8.9,3195,Alexandria
145,2021-07-16," 412 S. Lee Street, Alexandria northern virginia ",FOR RENT... Furnished 250-year-old beauty!!,2.0,1008.0,8.9,4995,Alexandria
146,2021-07-15, Old Town Alexandria northern virginia ,Live in the Heart of Old Town 3BR/2.5BA,3.0,1910.0,8.9,3900,Alexandria
149,2021-07-17, Alexandria northern virginia ,Charming brick townhouse for rent in Old Town,2.0,1300.0,8.9,3136,Alexandria
150,2021-07-14, Georgetown/Foxhall Village district of columbia ,"$4,300- 4br/2ba House",4.0,1880.0,8.9,4300,DC
151,2021-07-14, Georgetown Foxhall Village district of columbia ,English Tudor 5br 3ba House,5.0,2315.0,9.0,5400,DC
152,2021-07-16, 1018 Oronoco Street northern virginia ,Alexandria/Old Town,3.0,1779.0,9.0,3200,Alexandria
153,2021-07-16, Georgetown/Foxhall Village district of columbia ,Studio Basement Apartment with all utilities included,1.0,600.0,9.1,1300,DC
154,2021-07-17, Georgetown / Burleith / Foggy Bottom district of columbia ,WeRentGeorgetown .com For 2021/2022 school year,6.0,3000.0,9.4,5999,DC
155,2021-07-17, Georgetown / Burleith district of columbia ,Wow Location!  Across from Georgetown University / Hospital,5.0,1800.0,9.5,5900,DC
160,2021-07-14," Glover Park, Washington DC district of columbia ",Townhouse,5.0,2000.0,9.5,5000,DC
161,2021-07-14," Glover Park, Washington DC district of columbia ",Townhouse,4.0,2400.0,9.5,5000,DC
165,2021-07-16, Georgetown Waterfront district of columbia ,***Beautiful 2 Bedrooms Top Floor Sunny End-Unit Waterfront Townhome,2.0,880.0,9.5,3398,DC
167,2021-07-16, Lorton northern virginia ,Three-level townhouse in quiet neighborhood,3.0,1606.0,9.5,2200,Lorton
170,2021-07-14, Alexandria VA northern virginia ,Master bedroom in furnished townhouse for rent immediately,3.0,1800.0,9.6,900,Alexandria
171,2021-07-14, Alexandria VA northern virginia ,Master bedroom in furnished townhouse for rent immediately,3.0,1800.0,9.6,900,Alexandria
172,2021-07-15, Mount Vernon northern virginia ,3 Bedroom Beautiful Home,3.0,1010.0,9.6,2500,Mount Vernon
175,2021-07-15,  district of columbia ,Home for rent,2.0,500.0,9.7,1650,DC
176,2021-07-15, Glover Park district of columbia ,Glover Park Rowhouse,4.0,1938.0,9.7,4200,DC
177,2021-07-17," Burlieth, N. Georgetown district of columbia ","Burlieth townhouse for rent, 4 BR, 2 Bath, parking",4.0,1700.0,9.7,4200,DC
178,2021-07-18, 2423 Tunlaw Rd district of columbia ,Single Family Home In Glover Park,5.0,2200.0,9.8,6000,DC
179,2021-07-12, Glover Park district of columbia ,"In Unit Laundry, Incredible Amenities, Virtual Tour Available",3.0,1149.0,9.9,5435,DC
180,2021-07-12, Glover Park district of columbia ,"Pet Spa, Virtual Tour Available, Incredible Amenities",3.0,1238.0,9.9,5460,DC
181,2021-07-13, Glover Park district of columbia ,"In Unit Laundry, Convenient Location, Virtual Tour Available",3.0,1238.0,9.9,5460,DC
182,2021-07-16, Glover Park district of columbia ,"Pet Friendly, Brand New, Virtual Tour Available",3.0,1262.0,9.9,5780,DC
183,2021-07-16, Foggy Bottom district of columbia ,"2 Bedroom+Den, 3.5 bathroom townhouse",2.0,2600.0,9.9,6000,DC
184,2021-07-18, Fairfax northern virginia ,Beautiful 4 BR/3.5 BA Townhouse For Rent,4.0,2300.0,9.9,2600,Fairfax
185,2021-07-16," Fairfax, VA northern virginia ",Townhouse for Rent,3.0,1520.0,9.9,2350,Fairfax
188,2021-07-17, Foggy Bottom district of columbia ,"Townhouse 3bd/2ba + Den, Foggy Bottom next to Metro, GWU",3.0,1500.0,10.0,6075,DC
189,2021-07-14, GW / Foggy Bottom district of columbia ,GW / Foggy Bottom - 2 BR Townhouse,2.0,700.0,10.0,2600,DC
190,2021-07-18, DC district of columbia ,3 BEDROOMS 2.5 BATHROOMS TOWNHOUSE,3.0,1145.0,10.0,4975,DC
191,2021-07-15," Washington, DC district of columbia ",Nestled in the center of a quiet block in the coveted Palisades,5.0,4809.0,10.1,1550,DC
194,2021-07-17, Lake Ridge / Woodbridge northern virginia ,Semi-Detached House for Rent,4.0,2226.0,10.3,2499,Woodbridge
195,2021-07-17, Reston northern virginia ,"Large Garage TH 2 Bedrm & a Den, 2.5 Bath close to Reston Metro",2.0,1524.0,10.5,2250,Reston
200,2021-07-14," Kalorama Triangle, Adams Morgan district of columbia ",3bd+office/2.5bath Wonderful House for Rent,3.0,2000.0,10.9,5800,DC
209,2021-07-18," Friendship Heights, DC district of columbia ","Charming  2 BR 1 BA ,1.5 blocks to Metro",2.0,1200.0,11.0,2900,DC
211,2021-07-16, Woodley Park district of columbia ,Welcoming Home in Wonderful Woodley! Includes Parking!,4.0,1496.0,11.1,5300,DC
226,2021-07-17, Southwest Waterfront Wharf district of columbia ,1BR/1BA; All Bills Pd/Furnished; NDU (SW DC),1.0,650.0,11.2,1375,DC
227,2021-07-16," Fairfax, VA northern virginia ",Townhouse for Rent,3.0,1520.0,11.2,2350,Fairfax
228,2021-07-14, Dupont/Adams Morgan district of columbia ,"Lovely townhouse apartment near 16th Street, NW",2.0,1400.0,11.2,4250,DC
229,2021-07-17, Dupont Circle district of columbia ,REDUCED RENT WEEKEND SPECIAL! Swann Street Spectacular: 3BD/2.5BA +Den,3.0,1483.0,11.3,5685,DC
233,2021-07-17, Georgetown/1024 29th Street NW district of columbia ,Steps to the Water/2 Bedroom  Medium Size House,2.0,1200.0,11.4,2900,DC
234,2021-07-17, Georgetown/1024 29th Street NW,Steps to the Water/2 Bedroom  Medium Size House,2.0,1200.0,11.4,2900,DC
235,2021-07-17, Georgetown/1024 29th Street NW,Steps to the Water/2 Bedroom  Medium Size House,2.0,1200.0,11.4,2900,DC
236,2021-07-13, Washington DC,Home for Rent,4.0,1900.0,11.4,3800,DC
